Germanium run correction coefficients, individual signals		
0.584057642	,	0.999282044
0.971306146	,	0.999064637
2.143313887	,	0.99916084
0.952878608	,	0.998954085
0.14849556	,	0.999183925
0.026878147	,	0.999284696
-0.072866577	,	0.999213095
-0.269457227	,	0.999457012
0.980689919	,	0.999131285
2.111134837	,	0.998652167
0.684397991	,	0.998943934
1.251808042	,	0.998663883
-0.030330086	,	0.999770215
2.862946017	,	0.997447239
0	,	0
0	,	0
1.154940607	,	0.998653804
1.088098405	,	0.998668786
-0.394580103	,	1.000881362
0.443448664	,	0.99895749
-0.55139315	,	0.999311609
0.860640139	,	0.999007238
1.052573998	,	0.998685627
0.877030797	,	0.99920026
1.112452034	,	0.998738007
1.102602529	,	0.9988922
1.022320775	,	0.99899084
0.736591679	,	0.998994596
