Germanium run correction coefficients, individual signals		
0.967368535	,	0.999166874
1.433503997	,	0.998947456
2.570077847	,	0.999031872
0.931730572	,	0.998915033
0.212651617	,	0.998996994
0.033979587	,	0.99937562
-0.043547245	,	0.999135501
-0.674254476	,	0.999310877
0.992695526	,	0.999210178
0.952191845	,	0.998652018
-0.621481264	,	1.000580516
1.07437048	,	0.998804131
0.037538544	,	0.999597053
2.941740525	,	0.99728249
0	,	0
0	,	0
0.261867638	,	1.000843631
-0.196992022	,	1.000902668
-0.156919544	,	1.000854799
1.053879793	,	0.999570928
-1.36992294	,	1.001547318
1.122016018	,	0.998671042
0.807564539	,	0.998407072
1.079757826	,	0.998856512
1.286522462	,	0.998768434
1.186329256	,	0.998343464
1.553171005	,	0.998822129
0.737366603	,	0.998734674
