Germanium run correction coefficients, individual signals		
0.750710356	,	0.999942005
-0.456190857	,	1.000576708
1.227604531	,	0.998988252
0.060307787	,	0.999003906
-0.081534681	,	0.999167334
0.254204217	,	0.999308624
-0.161419566	,	0.999889949
-0.08736671	,	1.000710929
-0.355688589	,	1.000432657
0.55291347	,	0.998876966
-0.81629405	,	1.00200778
0.107780211	,	0.999254401
-0.883343617	,	1.001082654
3.450620762	,	0.997995844
0	,	0
0	,	0
0.999705122	,	0.999594942
1.237720644	,	0.999458256
-0.002078877	,	1.000467609
0.57266798	,	1.00014134
-1.097044174	,	1.000541047
-0.573833167	,	1.000723509
0.22797222	,	0.999918556
-0.318786559	,	0.999898547
-0.882200112	,	1.001254252
-0.628064496	,	1.000978587
-0.111722282	,	1.000221707
-0.03488149	,	0.99943071
