Germanium run correction coefficients, individual signals		
-0.35106549	,	1.001014337
-0.662191001	,	1.0008773
-0.209542225	,	0.999975945
1.117436257	,	0.999276859
0.745529081	,	1.000724913
0.438354501	,	0.999899709
-0.222596963	,	0.999290638
-1.422739547	,	1.000903381
0.70092987	,	1.000377668
0.5842	,	1.000156932
-0.029090779	,	0.999684626
0.768390696	,	0.999110895
0.877004163	,	0.999117676
3.293275311	,	0.997862919
0	,	0
0	,	0
0.801416355	,	0.999321761
0.726715061	,	0.999775001
0.371810804	,	1.00068379
0.863417966	,	0.999570217
-0.85614848	,	1.000729597
0.741634218	,	0.998618466
1.154176811	,	0.999795252
0.52538655	,	0.999644768
0.56068672	,	0.999336342
0.80025431	,	0.99940313
0.656178848	,	1.000668087
1.709484734	,	0.998444737
