Germanium run correction coefficients, individual signals		
0.458474478	,	1.000170342
0.418533001	,	1.000050662
0.73057261	,	0.99990536
0.322424153	,	0.999998907
0.060106893	,	1.000056784
0.074326949	,	1.000164577
-0.008119731	,	1.000099816
-0.097166878	,	1.000270161
0.469084895	,	1.000184311
0.841284832	,	1.000074824
0.354520939	,	1.000229301
0.53071466	,	1.000279868
0.0166247	,	1.00031048
2.802214043	,	0.998326676
0	,	0
0	,	0
0.945076623	,	0.999736526
0.984491609	,	0.999552637
1.045526254	,	0.999416135
1.287450968	,	0.999812619
-0.440559765	,	1.000156186
0.424281705	,	0.99993719
0.898202171	,	0.999566414
0.817870357	,	0.999786888
1.00044405	,	0.999806257
0.987346392	,	0.999655181
0.514136761	,	0.999848163
0.996495055	,	0.999829636
