Germanium run correction coefficients, individual signals		
0.435611338	,	0.998676266
1.045371838	,	0.998390639
1.053622212	,	0.999128987
0.982329835	,	0.9984504
0.116373196	,	0.998633089
0.03680494	,	0.998770465
-0.115013251	,	0.998841407
-0.239473797	,	0.99882068
1.016974025	,	0.998678058
2.329966574	,	0.998988005
0.667667634	,	0.999529117
0.835244641	,	0.998216918
-0.042385028	,	0.999116257
2.848330159	,	0.996839196
0	,	0
0	,	0
-0.291610204	,	1.000835325
-0.429077018	,	1.000745636
-0.593501077	,	1.000720628
-0.423934741	,	1.000668291
-1.757904266	,	1.00132142
0.998175396	,	0.998509269
0.978088123	,	0.998301752
0.906999558	,	0.998592175
1.213246326	,	0.998181275
0.967466892	,	0.99843921
1.127794321	,	0.998349629
1.173260659	,	0.998603774
