Germanium run correction coefficients, individual signals		
0.520848988	,	0.999546412
1.013364871	,	0.999012198
2.83128959	,	0.997908422
0.495379459	,	0.99908035
0.100244669	,	0.999371185
0.04464877	,	0.999495521
-0.005516227	,	0.999433136
-0.45015507	,	0.999669762
0.340377943	,	0.999572424
0.588075287	,	0.999151529
-0.325613574	,	0.999544137
0.73755022	,	0.999274479
-0.02706536	,	1.000187564
2.860318493	,	0.997656882
0	,	0
0	,	0
1.064433767	,	0.999033822
1.003688064	,	0.998899477
0.957914803	,	0.998902335
0.217770621	,	0.999285442
-0.701024003	,	0.999446712
0.975764573	,	0.999023336
0.898473897	,	0.999043775
0.880726786	,	0.99938059
1.162241525	,	0.998835286
0.769890267	,	0.998980257
0.404324241	,	0.999516093
1.032086517	,	0.999268916
