Germanium run correction coefficients, individual signals		
0.96494471	,	0.998912167
0.736074399	,	0.999101462
1.353628335	,	0.998844758
1.061678879	,	0.998660513
0.171369837	,	0.998901923
0.01059571	,	0.999140832
-0.059586835	,	0.998919605
-0.274836384	,	0.999141208
0.622832451	,	0.998961494
0.362640414	,	0.999231117
0.72114081	,	0.998860462
0.602456752	,	0.998700107
-0.052235738	,	0.999520142
2.916991159	,	0.997045317
0	,	0
0	,	0
0.429076814	,	0.99967921
1.145938708	,	0.998422394
0.158946852	,	0.999730982
0.469339433	,	0.999485639
-1.335663961	,	1.000943331
1.37823461	,	0.998336814
0.405155939	,	0.999612912
0.952059973	,	0.998713741
0.313928807	,	0.999209846
-0.263443775	,	1.000753596
0.947493822	,	0.99867005
1.075938251	,	0.998886108
