Germanium run correction coefficients, individual signals		
-0.123295648	,	1.000818773
-0.322039892	,	1.00070962
0.855258387	,	0.99920231
-0.339248329	,	0.999800066
0.926037976	,	0.998913912
0.046401955	,	0.999354712
-0.346123269	,	1.000696249
-0.38689358	,	1.000196414
0.219464533	,	0.999478468
0.15050963	,	0.999684868
-1.23519754	,	1.000032524
0.604382567	,	0.999498798
-0.779406337	,	0.99987513
2.918330193	,	0.997372846
0	,	0
0	,	0
-0.623823119	,	1.002041204
-0.048964716	,	1.000166036
-0.910827045	,	1.000006452
-0.780681305	,	1.000763249
-1.422228679	,	0.999621815
0.019196897	,	1.000654797
-0.583380423	,	1.000048328
-0.418387481	,	1.000372873
-0.076137912	,	0.999654761
-0.694042516	,	1.000864282
1.169723533	,	0.998453652
0.386758979	,	0.999564992
