Germanium run correction coefficients, individual signals		
-0.883757604	,	1.000623017
-1.194022882	,	1.001081995
-0.765366495	,	1.000317269
0.983047759	,	0.999026986
1.398325429	,	0.999225864
-0.247372286	,	1.000948638
0.212773099	,	0.998782549
-0.952907024	,	1.000455648
-0.613131333	,	1.000336962
1.102326618	,	0.998902168
-1.051084676	,	1.000611117
-0.962358843	,	1.001049004
-0.849106031	,	1.000595881
2.825375035	,	0.998692052
0	,	0
0	,	0
-0.154749734	,	1.000661746
0.213352566	,	1.000423865
1.219559056	,	0.99823189
0.319147842	,	0.999299073
-1.536622414	,	1.001897799
0.397041548	,	0.999750495
0.507401476	,	0.999077155
0.188645218	,	1.000845005
0.561446217	,	0.99969968
0.541830496	,	1.001097144
0.502546472	,	1.00027695
0.494738837	,	1.000326681
