Germanium run correction coefficients, individual signals		
0.899020568	,	1.0003516
0.417149934	,	1.00025329
0.632365035	,	1.000262754
0.813901016	,	1.000172243
0.108272618	,	1.000270142
0.018224983	,	1.000671596
-0.013050562	,	1.000518218
-0.145704299	,	1.000600913
0.751464987	,	1.000449098
0.400255829	,	1.000165642
0.537371411	,	1.000570763
0.653641217	,	1.000597535
0.038939553	,	1.000697167
2.70118953	,	0.998866298
0	,	0
0	,	0
0.957527042	,	1.000036241
0.845851672	,	1.000177445
0.962754067	,	0.9998163
0.55279609	,	0.999839813
-0.758880387	,	1.000443566
0.905088863	,	0.999933774
0.856803986	,	1.000036754
0.855299071	,	0.99998574
0.592694065	,	0.999965972
0.957191873	,	1.000165974
0.972535163	,	1.000103645
0.450510889	,	0.999985743
