Germanium run correction coefficients, individual signals		
0.71180562	,	0.999458893
0.182301383	,	1.000385673
-0.686257202	,	0.99979875
0.159138604	,	0.999427589
0.326867109	,	0.998234562
0.218785182	,	0.999628851
-0.087613295	,	1.000043899
-1.57467193	,	1.000893606
-0.157144465	,	1.000316465
0.07779546	,	1.000596708
-0.254678581	,	0.999868601
-0.190751608	,	1.000573343
0.096117534	,	1.001090715
2.419023762	,	0.99848377
0	,	0
0	,	0
-0.57228671	,	1.000171268
0.338767109	,	1.000424697
0.964194269	,	0.99903419
0.624673083	,	1.00021598
-1.486602376	,	1.001613059
0.539722291	,	0.999710186
0.381651143	,	1.000017954
-0.158068891	,	1.001069188
0.566645976	,	0.999416587
-0.325199729	,	1.000664021
1.18588039	,	0.999621496
-2.020815084	,	1.001889647
