Germanium run correction coefficients, individual signals		
1.059886985	,	0.998806634
0.998130421	,	0.998677518
1.342079859	,	0.998579154
0.944284408	,	0.998574206
0.172648949	,	0.998759453
0.039817942	,	0.998997574
-0.116775592	,	0.99894414
-0.382342041	,	0.999031425
1.070142752	,	0.998723677
-0.000247795	,	1.000417676
0.651713191	,	0.998590934
0.834259227	,	0.998409316
0.019445565	,	0.999281678
2.884306233	,	0.996980003
0	,	0
0	,	0
1.196167437	,	0.99857702
-0.363175401	,	1.000749753
-0.420308442	,	1.000810615
-0.314157085	,	1.000754896
-1.601922173	,	1.001387451
1.495218288	,	0.998788377
-0.367513716	,	1.000651756
0.93935135	,	0.998709315
0.87002702	,	0.998245241
-0.326748919	,	1.000801008
1.062321888	,	0.998530133
1.118576716	,	0.998591404
