Germanium run correction coefficients, individual signals		
0.538792751	,	0.999443104
0.33358525	,	0.99931177
1.358659813	,	0.998891013
0.262430027	,	0.999315299
0.154808218	,	0.999298456
0.062838287	,	0.999403559
-0.13289159	,	0.999507015
-0.152375819	,	0.999460366
0.354568303	,	0.999575612
0.638552662	,	0.998968221
0.685800596	,	0.99910382
0.73557456	,	0.999137066
-0.021083812	,	1.000042758
2.847695877	,	0.997554029
0	,	0
0	,	0
1.113102064	,	0.998878519
1.097896107	,	0.998959368
0.919786707	,	0.998826014
1.036613578	,	0.998961512
-0.362240283	,	0.999574091
0.900659972	,	0.999059958
0.935275122	,	0.99896677
0.971942923	,	0.999035719
1.072170885	,	0.998931837
0.995627689	,	0.999007056
0.409484993	,	0.999513845
1.017334463	,	0.999223869
