Germanium run correction coefficients, individual signals		
0.513739192	,	0.999548021
1.000394176	,	0.999118222
0.827085582	,	0.999066741
0.941023878	,	0.998983427
0.151893345	,	0.999352503
0.146317583	,	0.999379921
-0.074438294	,	0.999285473
-0.420401087	,	0.999656662
0.984202819	,	0.99923645
0.859908337	,	0.998948432
0.468191401	,	0.999116494
1.160983231	,	0.999061283
0.015981156	,	0.999835665
2.869002429	,	0.997539422
0	,	0
0	,	0
1.09283843	,	0.999012588
1.029240121	,	0.998964811
1.041548036	,	0.9988343
0.618839063	,	0.998891074
-0.300312266	,	0.999548161
1.124369066	,	0.999006389
1.03089838	,	0.998720203
0.89852726	,	0.999073565
1.03244577	,	0.999054805
1.127427186	,	0.998815112
0.666828183	,	0.998852646
1.045307414	,	0.999058049
