Germanium run correction coefficients, individual signals		
0.321407768	,	1.000364433
0.349032214	,	1.000527743
0.665852182	,	1.000177608
0.801718431	,	1.000147961
0.106523677	,	1.000266386
-0.019810219	,	1.000645362
0.049223723	,	1.000373422
-0.245381783	,	1.000715212
0.36069191	,	1.000557656
0.4812247	,	1.000360722
0.709149754	,	1.00010247
0.570808284	,	1.000627915
0.063507642	,	1.000591227
2.717171878	,	0.998688855
0	,	0
0	,	0
0.994024423	,	0.999853432
0.517662518	,	0.999969413
0.905373249	,	0.999801129
0.943886809	,	0.999972049
-0.388118219	,	1.000371144
0.984457944	,	1.000198187
0.946916517	,	0.999795098
0.465690802	,	0.999901664
1.032379468	,	1.000169372
0.998720822	,	0.99997562
0.99408787	,	1.000088123
0.923956357	,	1.000070231
