Germanium run correction coefficients, individual signals		
-0.642392191	,	1.000206694
0.264114597	,	0.998607659
0.023090116	,	0.999178192
-0.982654903	,	1.001880439
0.90014083	,	0.998167582
-0.195644107	,	1.000602389
-0.192033708	,	1.000049679
-0.070685365	,	0.998913745
0.078359693	,	1.000929245
0.342928248	,	0.998406387
0.757316538	,	0.999673276
-0.732857713	,	1.000160089
-0.844945459	,	1.001623597
1.870948757	,	0.997736256
0	,	0
0	,	0
-0.09690794	,	0.999850783
0.881175396	,	0.998473464
-0.564405249	,	1.00079825
0.232973402	,	0.999515409
-1.181306326	,	1.000991769
-0.533398566	,	1.001659452
-1.565852756	,	1.001665177
-0.05929966	,	0.999550892
-0.682353332	,	1.000853207
0.393058463	,	0.999911741
-0.789004264	,	1.000660268
0.668037423	,	0.999177566
