Germanium run correction coefficients, individual signals		
-0.112905319	,	1.000510209
-0.432469646	,	1.000109433
-1.0408847	,	1.000483188
-0.022722055	,	1.000588599
-1.424397563	,	1.001495554
-0.323542562	,	1.000366918
-0.571473236	,	1.000109429
-0.00826819	,	1.000109274
-0.254916151	,	1.000321654
0.834124545	,	0.999996039
0.224002849	,	0.999338418
-0.615307664	,	1.000602757
-0.675793764	,	0.999840403
1.994674157	,	0.999280267
0	,	0
0	,	0
1.5205755	,	0.998862245
0.457635298	,	0.999274236
-0.228239975	,	1.000206898
0.900634814	,	1.000384462
-1.798362582	,	1.002261199
0.706243191	,	0.999178596
0.23219066	,	0.999114149
0.182289606	,	0.999626582
-1.150689606	,	1.001057421
0.959798597	,	0.999646795
-1.081813734	,	1.000644691
0.240397409	,	0.999334256
