Germanium run correction coefficients, individual signals		
0.862282978	,	0.998508695
1.034234895	,	0.99846603
1.736886434	,	0.999404421
1.024298128	,	0.99842242
0.167042348	,	0.998510605
0.052127359	,	0.998687374
-0.045438204	,	0.998638669
-0.284089136	,	0.998773417
-0.846375319	,	1.00102403
1.913772995	,	0.998495628
-0.851944407	,	1.000426647
0.74388144	,	0.998394007
-0.010574093	,	0.999052277
2.883909411	,	0.996784042
0	,	0
0	,	0
-0.396069745	,	1.000791328
-0.463615904	,	1.000750844
-0.546464695	,	1.000762203
-0.338363529	,	1.00076117
-1.732487005	,	1.001319043
-0.401392516	,	1.000828122
-0.330203614	,	1.000666217
-0.311333795	,	1.000754199
-0.289068759	,	1.000696078
-0.379374297	,	1.000779638
1.344599741	,	0.998688877
-0.285568108	,	1.000876095
