Germanium run correction coefficients, individual signals		
0.695407611	,	0.999816526
-0.06411489	,	1.000634947
-0.435393217	,	1.000857407
-0.627550684	,	1.000220367
-0.564430465	,	1.001709372
-0.836790683	,	1.000266397
-0.099062818	,	0.998813099
-0.211826108	,	0.999964533
0.266009853	,	0.999166407
-0.246648229	,	1.000728793
0.070484839	,	1.000293273
-0.328835034	,	1.000025968
0.139011774	,	1.000503237
2.169123397	,	0.999268074
0	,	0
0	,	0
0.610671834	,	1.000158596
0.177226357	,	1.000409863
-0.63360817	,	0.999874054
0.467555129	,	0.998758714
-1.458188013	,	1.000903948
-0.714913429	,	1.00111499
0.044696822	,	0.999652792
0.442559634	,	0.999508768
-0.342383141	,	1.000238761
-0.219912483	,	0.999926247
0.620552332	,	0.999808525
-0.155476661	,	1.000797445
