Germanium run correction coefficients, individual signals		
0.502254172	,	0.999160786
0.995647298	,	0.998909103
0.541776602	,	0.998787862
0.109938943	,	0.999022029
0.116231199	,	0.999053752
0.129742761	,	0.999070914
-0.147860504	,	0.999034039
-0.394516357	,	0.99930188
0.986766833	,	0.998923777
1.109048576	,	0.998376291
-0.014996881	,	0.998928507
1.139831751	,	0.998660074
0.008035999	,	0.999438814
2.919032892	,	0.997126984
0	,	0
0	,	0
1.110327724	,	0.998792957
1.08176339	,	0.998665969
-0.338636382	,	1.000914275
-0.168962438	,	1.000864921
-0.561002684	,	0.999091775
1.040007299	,	0.998707122
1.080271331	,	0.998542993
1.465212861	,	0.998870172
1.067947281	,	0.998647813
0.624157444	,	0.999375224
-0.26521795	,	1.000869441
1.036128837	,	0.998733239
