Germanium run correction coefficients, individual signals		
0.526932771	,	0.999467414
0.938945773	,	0.999123962
1.19800864	,	0.998493678
0.91837649	,	0.999038672
0.158166934	,	0.999275025
0.090690656	,	0.999402463
-0.032794253	,	0.999436496
-0.23447734	,	0.999568567
0.565486141	,	0.999432113
1.121133527	,	0.999183717
0.289854859	,	0.99927095
0.149258073	,	0.999108914
-0.071052895	,	1.000157024
2.836319335	,	0.997603351
0	,	0
0	,	0
1.108247485	,	0.998921532
1.051821103	,	0.998890907
0.830087155	,	0.998928866
1.086369936	,	0.998906483
-0.278958224	,	0.99959283
0.921132003	,	0.999089123
0.647862464	,	0.999048684
0.971729543	,	0.999154362
0.229738895	,	0.999385304
1.019693251	,	0.9990211
0.916709167	,	0.999299526
1.041271982	,	0.999165573
