Germanium run correction coefficients, individual signals		
0.531428116	,	0.99977024
0.757959598	,	0.999052898
-0.436414811	,	1.000271508
1.200078194	,	0.998360888
0.401834541	,	0.999547246
0.238192659	,	0.999816659
-0.917250068	,	1.000792179
-0.022805333	,	0.999184586
0.540708733	,	1.000138061
0.529398097	,	1.000152596
-0.167013263	,	1.000125938
1.221996288	,	0.998980283
1.117001138	,	0.998490916
2.443592915	,	0.998077789
0	,	0
0	,	0
0.768155647	,	0.998846577
-0.453554369	,	1.001479225
-0.168548856	,	1.000858791
0.291186271	,	0.999929102
-0.764699068	,	0.999927079
-1.312971294	,	1.000699566
-0.277304302	,	0.99960582
0.225178395	,	0.999829516
-0.397092533	,	0.999520783
1.306967	,	0.998951626
-0.549304513	,	1.001918889
0.168881441	,	1.000136836
