Germanium run correction coefficients, individual signals		
1.115288777	,	0.998923057
0.996633205	,	0.998795536
3.446191956	,	0.996897673
0.339397619	,	0.998926648
0.128273454	,	0.998971681
0.005435678	,	0.999152275
-0.123868099	,	0.999170779
-0.239605103	,	0.999177422
0.474055949	,	0.999111664
2.361394201	,	0.99781681
0.793067632	,	0.99872453
1.101964983	,	0.998640825
-0.079368269	,	0.999640443
2.854981949	,	0.997206101
0	,	0
0	,	0
1.087171736	,	0.998641154
1.496753048	,	0.998761534
-0.433624523	,	1.000955034
1.514241699	,	0.998744914
0.137120425	,	0.99936193
0.992921637	,	0.998576384
1.048410468	,	0.998628857
0.973350782	,	0.998866873
0.820226231	,	0.998416521
1.082821703	,	0.998727177
0.949107883	,	0.998923441
1.056032917	,	0.998976243
