Germanium run correction coefficients, individual signals		
0.470793227	,	1.000342389
0.554228667	,	1.000017894
0.529136879	,	0.999951745
0.840916784	,	0.999891693
0.164980209	,	0.999948033
0.018745572	,	1.000282461
-0.010748668	,	1.000291232
-0.237700821	,	1.000296031
0.777265433	,	1.000145575
1.033263258	,	0.999816914
0.531446749	,	1.000090329
0.715307525	,	1.000272873
0.031120676	,	1.000380777
2.686968951	,	0.998534816
0	,	0
0	,	0
1.081633261	,	0.999811961
0.903194105	,	0.999609288
0.970308921	,	0.999615082
0.518595806	,	0.999603282
-0.712941397	,	1.000142807
0.948217633	,	0.999757014
0.793564555	,	0.999723573
0.788856109	,	0.999761821
0.922753182	,	0.999965114
1.141805616	,	0.999655956
0.618739304	,	0.999757416
0.959251422	,	0.999862039
