Germanium run correction coefficients, individual signals		
0.519150593	,	0.999093796
1.045390583	,	0.998617228
1.814817355	,	1.000141328
0.484935409	,	0.998779249
0.087857068	,	0.998819197
0.032628005	,	0.99892772
-0.135414212	,	0.999022048
-0.240878148	,	0.99901528
0.227503052	,	0.999357628
1.302146659	,	0.999888519
0.685141704	,	0.998307939
1.247882446	,	0.998385091
-0.044057594	,	0.999357803
2.873333183	,	0.997007303
0	,	0
0	,	0
-0.162049506	,	1.000714439
1.046303085	,	0.998402665
-0.467240393	,	1.000935842
1.211471893	,	0.99815437
-1.695085078	,	1.001381798
1.205853822	,	0.998226163
1.111929641	,	0.998247505
0.878103939	,	0.998779285
1.104257454	,	0.998491497
1.179081871	,	0.99848234
-0.263333227	,	1.000869148
0.357777235	,	0.999851572
