Germanium run correction coefficients, individual signals		
1.042073496	,	0.999211095
0.768465736	,	0.998667138
2.83924787	,	0.998364402
0.930519003	,	0.998881131
0.256414148	,	0.998885791
0.08908359	,	0.999288564
0.100731219	,	0.998907786
-0.821526208	,	0.999418719
0.77002331	,	0.99887263
0.47906272	,	0.99946213
-1.525424588	,	1.001174848
1.525266346	,	0.999224893
-0.014098483	,	0.99969616
2.883303143	,	0.997343451
0	,	0
0	,	0
0.783292612	,	0.999458591
1.440563598	,	0.998714643
-0.041292502	,	0.999867071
0.027147823	,	1.001054037
-1.440335085	,	1.001482332
0.209396075	,	1.000989306
1.121495069	,	0.998628009
1.016905098	,	0.998981809
1.351939059	,	0.998404266
-0.021968665	,	1.000870471
0.678446903	,	0.998730165
-0.275977817	,	1.000976296
