Germanium run correction coefficients, individual signals		
1.067091107	,	0.99914652
0.387717955	,	0.99916826
0.189870111	,	1.00047406
0.41456617	,	0.999055953
0.175650311	,	0.999089836
0.009834525	,	0.999355309
-0.077363279	,	0.999299304
-0.251107212	,	0.999306742
0.463278978	,	0.999261009
0.968761256	,	0.998856247
0.737278688	,	0.998749135
0.591603242	,	0.999097549
-0.025445048	,	0.999931601
2.829659473	,	0.99744212
0	,	0
0	,	0
1.617578449	,	0.998839697
0.208805556	,	0.999052468
0.084658904	,	1.001128344
-0.326509981	,	0.999964047
-0.60562966	,	0.99928212
1.35151577	,	0.999174997
0.686161795	,	0.998733201
0.862515498	,	0.999050473
1.148699728	,	0.998722886
1.002951697	,	0.998785039
0.818556341	,	0.999242605
1.554459787	,	0.999181514
