Germanium run correction coefficients, individual signals		
0.738006636	,	0.999811018
0.560525586	,	0.999782917
0.707553515	,	0.999761529
0.328808472	,	0.999869543
0.075639474	,	0.999807077
0.092582577	,	0.999972077
-0.035833993	,	0.999978128
-0.170354869	,	1.000096269
0.495552728	,	1.000058043
1.066633577	,	0.999413428
0.66723938	,	0.999693143
0.313634863	,	1.00008176
-0.002382358	,	1.000176684
2.64348641	,	0.998401627
0	,	0
0	,	0
0.935175985	,	0.999569949
0.51978163	,	0.999642212
0.995558392	,	0.999323456
0.412295702	,	0.999714527
-0.415328684	,	0.999982957
0.982434179	,	0.999464278
0.96565736	,	0.999452734
0.899718185	,	0.999526278
1.072379732	,	0.999455927
0.939578379	,	0.999502421
0.96588251	,	0.999638312
0.906374211	,	0.999682483
