Germanium run correction coefficients, individual signals		
0.581706022	,	0.999450791
1.019963648	,	0.999019354
1.154190929	,	1.000042408
-0.006725341	,	0.999191802
0.220007059	,	0.999185465
0.052212765	,	0.999408228
-0.107867142	,	0.999481039
-0.23074175	,	0.999488727
0.242132812	,	0.999427469
0.484847657	,	0.999042187
0.691332693	,	0.999121512
0.454014065	,	0.999148719
0.008167593	,	0.999974208
2.868523305	,	0.997506108
0	,	0
0	,	0
0.734569353	,	0.998742643
1.212246043	,	0.998769935
1.40673807	,	0.998921207
1.076500436	,	0.998859475
-0.442263037	,	0.999548708
0.973410703	,	0.999004176
0.904677566	,	0.998954856
0.188350391	,	0.999211079
1.203563476	,	0.998949994
1.01924342	,	0.999003072
0.857752309	,	0.999245298
0.968805064	,	0.999140696
