Germanium run correction coefficients, individual signals		
0.700594155	,	0.999341271
1.183074061	,	0.999817002
0.738576182	,	0.999526988
0.252852871	,	0.999812023
0.246458755	,	0.999461274
-0.155583347	,	1.000300551
0.061622172	,	0.999805545
-0.324870519	,	1.000012385
0.22208288	,	0.999871755
0.382428039	,	0.999770082
0.53870201	,	0.99995054
0.74698167	,	0.999624951
0.149915125	,	0.999891714
2.722169114	,	0.998218244
0	,	0
0	,	0
1.055827821	,	0.999223054
1.213109733	,	0.999284116
0.98798123	,	0.999248203
1.236440146	,	0.999243539
-0.273563581	,	0.999896955
0.447341067	,	0.999621975
1.027602885	,	0.999275297
0.737881822	,	0.999790135
1.461061374	,	0.999666085
1.113476692	,	0.99926652
0.586233972	,	0.999603308
1.065969752	,	0.999641934
