Germanium run correction coefficients, individual signals		
0.480812568	,	1.000250951
0.743292569	,	1.000218435
0.347087921	,	1.000197983
0.789823339	,	1.000088437
0.138607517	,	1.000040389
0.070518166	,	1.000345282
0.045662345	,	1.00029567
-0.179972146	,	1.00045559
0.830307255	,	1.00015676
0.851162559	,	1.000148887
0.58732169	,	1.000212322
0.758271382	,	1.000334801
0.045359217	,	1.000533251
2.702196206	,	0.998635779
0	,	0
0	,	0
0.996697297	,	0.999768764
0.853099607	,	0.999968382
0.943194859	,	0.999614135
0.957885879	,	0.999841044
-0.790048078	,	1.000231272
0.87674274	,	1.00007753
0.525780753	,	0.999704092
0.85025595	,	0.999890038
0.627018975	,	0.999777498
1.074140506	,	0.999949666
1.007901547	,	0.999886032
0.977971733	,	1.000006098
