Germanium run correction coefficients, individual signals		
1.076670814	,	0.998910986
0.930402044	,	0.99875041
1.77242783	,	1.000043798
0.441852538	,	0.998774591
0.119453856	,	0.998795407
0.011088261	,	0.998935436
-0.1245908	,	0.999028276
-0.327078503	,	0.999139756
0.531248604	,	0.998900991
1.61653255	,	0.999123004
0.597984675	,	0.998591945
1.073694244	,	0.99853696
-0.045678656	,	0.999378981
2.913416013	,	0.99697455
0	,	0
0	,	0
1.04649506	,	0.998601211
0.0279952	,	1.001012602
0.065422101	,	1.000986814
0.436441855	,	0.999412688
-1.695822594	,	1.001420342
0.962143773	,	0.998668628
1.040234194	,	0.998409239
0.914067372	,	0.998664713
1.382087681	,	0.998143514
1.307321602	,	0.998216723
1.055391662	,	0.998562901
1.124751996	,	0.998743885
