Germanium run correction coefficients, individual signals		
0.648892975	,	0.999377961
0.979767188	,	0.999031481
3.308196241	,	0.997685566
0.404854792	,	0.999293534
0.133065076	,	0.999252701
0.020689635	,	0.999431585
-0.066563525	,	0.999392862
-0.204083934	,	0.999460278
1.03090435	,	0.999263746
-0.177977902	,	1.001016473
0.54922342	,	0.999325606
0.739500545	,	0.999053056
-0.017420621	,	1.000044762
2.875460331	,	0.997511234
0	,	0
0	,	0
1.113105181	,	0.998932461
0.97538386	,	0.998997712
0.919256385	,	0.998717723
-0.143793101	,	1.000838583
-0.287377848	,	0.999459353
0.837127419	,	0.99899025
1.008587934	,	0.998801716
0.942571678	,	0.999195655
1.182605498	,	0.998881667
1.083870363	,	0.998833871
1.003669796	,	0.999234456
0.908789333	,	0.999244459
