Germanium run correction coefficients, individual signals		
1.062106577	,	0.999390356
0.977873219	,	0.999126099
0.733628477	,	0.999462331
0.897221946	,	0.999109658
0.122189365	,	0.999398132
0.061303948	,	0.999522114
-0.085934932	,	0.999515413
-0.445467536	,	0.999469659
1.045155931	,	0.999220385
1.004361553	,	0.998879352
0.74114921	,	0.999436968
0.398070056	,	0.999060638
-0.040325946	,	1.00015951
2.866103104	,	0.997705282
0	,	0
0	,	0
0.932418432	,	1.000103909
1.05574876	,	0.998900932
-1.461692525	,	1.001148818
-0.222790121	,	1.000960972
-0.416175423	,	0.999618268
0.909122499	,	0.999020945
0.98656059	,	0.99907328
0.871153605	,	0.999265972
0.780226177	,	0.999061418
0.75114294	,	0.999053936
1.287297992	,	0.999611121
0.711865008	,	0.999168964
