Germanium run correction coefficients, individual signals		
0.792238469	,	1.000320821
0.803757634	,	1.000260517
0.774215868	,	1.000103593
0.149442266	,	1.000209279
0.127383668	,	1.000139398
0.049070803	,	1.000507467
0.002776814	,	1.000429314
-0.142254846	,	1.000423815
0.894677197	,	1.000277811
0.847649031	,	1.000135991
0.641820656	,	1.000059757
0.685606152	,	1.000494501
0.031238277	,	1.000658005
2.598558027	,	0.998955966
0	,	0
0	,	0
0.924804316	,	1.000073435
0.980753993	,	0.999852631
0.992190924	,	0.999854231
0.583768195	,	0.999720893
-0.505703672	,	1.000428179
1.359779069	,	0.999930539
0.492717206	,	0.999824231
0.583290973	,	0.999790678
1.00776496	,	1.000032474
0.957423512	,	0.999995946
0.686620014	,	0.999971881
0.962453751	,	1.000113742
