Germanium run correction coefficients, individual signals		
4.550195211	,	1.00007467
4.585167112	,	1.00011594
4.672129008	,	1.000118078
4.551535799	,	1.000038901
5.617721803	,	0.999589085
4.459208633	,	1.000069999
3.80240494	,	0.999857305
3.933076507	,	0.999792523
4.676460108	,	1.00010671
4.60201408	,	1.000043763
4.817093859	,	1.000019472
4.58171658	,	1.000024754
4.60145432	,	1.000041789
7.421374001	,	0.998249604
0	,	0
0	,	0
4.909368795	,	1.000066368
4.909323048	,	1.000067098
4.79665791	,	1.000062893
4.701359507	,	1.000023779
3.198615175	,	1.000692465
4.674977704	,	1.000019001
4.447015486	,	1.000000967
4.482135314	,	1.000032761
4.933303332	,	0.999983029
4.829226773	,	1.000029976
4.604772654	,	1.000105988
5.1326452	,	1.000065966
