Germanium run correction coefficients, individual signals		
0.238311018	,	0.999956535
0.8338211	,	0.999989171
0.800041162	,	0.999799754
0.321730004	,	1.000029529
0.077335514	,	0.999976254
0.056765072	,	1.000138232
-0.067358166	,	1.000216306
-0.140499435	,	1.000145476
0.464312874	,	1.000180171
0.846559135	,	0.999744354
0.668450328	,	0.999886413
0.677684496	,	1.00002271
0.059803602	,	1.000195014
2.681469806	,	0.99841435
0	,	0
0	,	0
1.00199818	,	0.999506029
0.277958479	,	0.999752955
1.018396006	,	0.999476625
0.162980982	,	0.999603753
-0.627803449	,	0.999887624
0.902962729	,	0.999696067
0.890595706	,	0.999474106
0.60169489	,	0.999404581
0.62624281	,	0.999539247
1.036988338	,	0.99946615
0.944291441	,	0.999793276
1.10155743	,	0.999632844
